,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrezgene,uniprot_gn,external_gene_name
28864,94186,4285.98552712848,-0.50211675991244,0.27189864171342304,34.8214761617082,1.32877230865838e-07,2.12828438545268e-05,94186,Q9ERG2,Strn3
29015,98170,389.085675058576,-11.766366296757697,1.89900491277423,35.1925699419214,1.1093000718530901e-07,1.8627295238810602e-05,98170,Q922P8,Tmem132a
29073,98758,29013.974765308398,0.4843785054687779,0.15772651195765197,23.2686850794455,3.54962563810817e-05,0.0025352750719737803,98758,Q9Z2X1,Hnrnpf
29074,98758,29013.974765308398,0.4843785054687779,0.15772651195765197,23.2686850794455,3.54962563810817e-05,0.0025352750719737803,98758,Q9Z2X1,Hnrnpf
29075,98758,29013.974765308398,0.4843785054687779,0.15772651195765197,23.2686850794455,3.54962563810817e-05,0.0025352750719737803,98758,Q9Z2X1,Hnrnpf
29076,98758,29013.974765308398,0.4843785054687779,0.15772651195765197,23.2686850794455,3.54962563810817e-05,0.0025352750719737803,98758,Q9Z2X1,Hnrnpf
29077,98758,29013.974765308398,0.4843785054687779,0.15772651195765197,23.2686850794455,3.54962563810817e-05,0.0025352750719737803,98758,Q9Z2X1,Hnrnpf
29078,98758,29013.974765308398,0.4843785054687779,0.15772651195765197,23.2686850794455,3.54962563810817e-05,0.0025352750719737803,98758,Q9Z2X1,Hnrnpf
29079,98758,29013.974765308398,0.4843785054687779,0.15772651195765197,23.2686850794455,3.54962563810817e-05,0.0025352750719737803,98758,Q9Z2X1,Hnrnpf
29098,99003,209.95781282259998,9.85566801283455,1.9937486010483603,29.623358165225703,1.65618207228893e-06,0.000200494320402326,99003,,Qser1
29121,99237,2353.93098603916,-0.8107716351529899,0.26693388544796,26.105114849945398,9.06609935655223e-06,0.0007931694151350019,99237,Q8BH24,Tm9sf4
29175,99899,4922.959027727849,0.7458416130007471,0.7985216968969271,25.792277021974503,1.05418305251392e-05,0.0008933023668300961,99899,Q8BV66,Ifi44
29208,100182,367.132598752089,-12.0093060292256,2.74354917158347,16.7943568143998,0.000779006691672481,0.0274923344644143,100182,Q80VW7,Akna
29209,100182,367.132598752089,-12.0093060292256,2.74354917158347,16.7943568143998,0.000779006691672481,0.0274923344644143,100182,Q80VW7,Akna
29242,100494,23172.7955926774,0.314552232244663,0.3989237748795921,18.3042888996953,0.000380646689343515,0.0155408340500209,100494,Q9JII7,Zfand2a
29243,100494,23172.7955926774,0.314552232244663,0.3989237748795921,18.3042888996953,0.000380646689343515,0.0155408340500209,100494,Q9JII7,Zfand2a
29450,102371,198.753091646781,11.4096712999615,2.72933949957906,15.289905302932699,0.00158493949147169,0.0469517250536775,102371,Q3UIJ9,Myzap
29475,102693,129.224953081787,6.4995464749647995,1.82436219273301,16.6623694229091,0.0008292086248757741,0.0288725451290357,102693,Q6PDH0,Phldb1
29637,104110,4717.28576230971,1.39058098996139,0.27050016828899104,68.8080071255297,7.681926840659859e-15,5.7126100241507e-12,104110,Q91WF3,Adcy4
29641,104112,5808.86614613948,0.406490919500255,0.346294005611028,16.179722314349302,0.00104171723757593,0.0344295814615969,104112,Q91V92,Acly
29642,104112,5808.86614613948,0.406490919500255,0.346294005611028,16.179722314349302,0.00104171723757593,0.0344295814615969,104112,Q3V117,Acly
29643,104112,5808.86614613948,0.406490919500255,0.346294005611028,16.179722314349302,0.00104171723757593,0.0344295814615969,104112,Q3TS02,Acly
29644,104112,5808.86614613948,0.406490919500255,0.346294005611028,16.179722314349302,0.00104171723757593,0.0344295814615969,104112,Q91V92,Acly
29645,104112,5808.86614613948,0.406490919500255,0.346294005611028,16.179722314349302,0.00104171723757593,0.0344295814615969,104112,Q3V117,Acly
29646,104112,5808.86614613948,0.406490919500255,0.346294005611028,16.179722314349302,0.00104171723757593,0.0344295814615969,104112,Q3TS02,Acly
29673,104349,275.625579687598,10.9836021930728,2.00262033232806,27.2899077056163,5.11837712591173e-06,0.000488875451907037,104349,Q9JIC0,Zfp119a
29761,105171,6329.72591643703,0.5762197412022709,0.231404351919005,23.285228605297497,3.5215405743372e-05,0.0025352750719737803,105171,Q7TPQ9,Arrdc3
29770,105245,3318.7280235262397,1.08156631651629,0.381357837939391,16.9262329734783,0.000731864313694236,0.0262739288616231,105245,Q3TEE8,Txndc5
29771,105245,3318.7280235262397,1.08156631651629,0.381357837939391,16.9262329734783,0.000731864313694236,0.0262739288616231,105245,Q91W90,Txndc5
29772,105245,3318.7280235262397,1.08156631651629,0.381357837939391,16.9262329734783,0.000731864313694236,0.0262739288616231,105245,Q3TEE8,Txndc5
