"KO1_EC_C" "KO1_EC_B" "KO1_EC_A" "KO2_EC_C" "KO2_EC_B" "PBS_EC_A" "PBS_EC_B" "PBS_EC_C" "WT_EC_A" "WT_EC_B"
"11441" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11443" 13.5030942402832 13.5922097966668 13.2814286544236 13.5771078682881 13.5310739273289 13.4831722355618 13.5783413250408 13.5622420157106 13.2814286544236 13.2814286544236
"11444" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.306645725598 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11447" 13.2814286544236 13.2987961123589 13.3229224260271 13.2814286544236 13.2814286544236 13.2814286544236 13.3053596465609 13.3291873087308 13.2814286544236 13.2814286544236
"11448" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11449" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11450" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11451" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11459" 13.2814286544236 13.3089209882658 13.3021865956392 13.3345500444185 13.2953053990174 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11461" 16.0538004154305 15.9950136202164 16.0126211627286 16.1133856839009 16.1379765360557 16.4068887065192 16.2574315036683 16.1204441407352 16.1149464139027 15.9898789037664
"11464" 13.2814286544236 13.2814286544236 13.3174079879815 13.2951553695356 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11465" 16.7402785015332 16.5263989641086 16.4854652557142 16.743028854884 16.8603511169636 17.3159574972688 17.0112988957319 16.8648178531426 16.9174327359579 16.319678002938
"11468" 13.2814286544236 13.2937138382052 13.2814286544236 13.2814286544236 13.3586314211128 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11470" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11471" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11472" 13.3012404096321 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.385691596649 13.3107174683222 13.3089836846999 13.2814286544236 13.3215632670261
"11474" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.4240217185034 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11475" 13.3127762000122 13.4090232424491 13.536886063247 13.5022103187053 13.6346018148114 13.3434755409235 13.4219932481784 13.3228099396205 13.3071691456187 13.4558761496255
"11477" 13.9178633366628 14.0039641632516 13.5243255522084 14.0696972255558 13.8854966189596 13.8226526977818 13.836865974773 14.027685213777 14.0226499942043 13.8680803963206
"11479" 13.3012578784031 13.41760151642 13.3202517448407 13.4327680320886 13.41061335533 13.4342291423319 13.3660248271937 13.4930274824992 13.2814286544236 13.4205362705986
"11480" 13.8283130861546 13.3509323972454 14.0394647050964 13.6127067078518 13.7885416714002 13.7807965792673 13.7322306187393 13.7518361130489 13.8329438982886 13.7021718699509
"11481" 13.2814286544236 13.37978002939 13.3563546197162 13.3345843918556 13.2814286544236 13.5336765941863 13.4111953538709 13.3889419585258 13.3072080196875 13.3919861270233
"11482" 14.6140736866453 14.7638120139941 14.674912047935 14.5635924656545 14.6912539936595 14.8799928522419 14.7635516389895 14.7616165518113 14.5205866438967 14.321406220149
"11484" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236
"11486" 13.7168442036798 13.6305064922425 13.9973850946343 13.5238217029104 13.5665254147217 13.6345870120431 13.8102624920319 13.6591822715329 13.9905865987984 13.2814286544236
"11487" 14.1986623319042 14.0136089468744 14.7843195160864 14.0809397269608 14.254606712399 14.5626569687568 14.3777299921005 14.4143038346579 14.091188203731 14.1100638959325
"11488" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.3829376325805 13.2814286544236 13.2814286544236 13.2814286544236
"11489" 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.2814286544236 13.3089746445575 13.2963013208203 13.2814286544236
"11490" 14.7473491741336 14.6834323962475 14.5223987179804 14.6095835859177 14.658838382127 14.7569476379013 14.8358035053138 14.6341219905801 14.7880123175818 14.451556162963
